hid,wp,age,gender,marital_status,employment,driving_licence,age_discrete,htype,hsize,nbcars,nbcars_agg,role
428542,1.8381606208,37,2,2,1,1,4,220,4,1,1,2
341153,2.1395846874,10,1,1,5,2,1,220,4,2,2,3
141841,1.7180490056,19,1,1,1,2,3,220,5,3,3,4
434959,1.3766993707,57,2,1,2,2,5,10,1,0,0,1
358714,0.7386326202,10,1,1,5,2,1,220,4,0,0,3
254147,3.8803936909,42,1,2,1,1,4,220,4,0,0,1
275505,2.1301648247,31,2,1,1,1,4,10,1,0,0,1
115077,0.397384345,46,1,2,1,1,5,220,4,2,2,1
284874,0.6907347235,9,2,1,5,2,1,220,5,2,2,5
267635,0.4883703976,59,2,1,1,1,5,10,1,1,1,1
336632,2.3342167042,35,2,2,1,1,4,210,2,3,3,2
132615,1.4378005473,62,2,1,1,1,5,10,1,1,1,1
130373,0.5551336666,61,2,2,1,1,5,210,2,2,2,1
245958,2.3510524552,59,2,4,1,1,5,10,1,0,0,1
339737,0.541645125,10,2,1,5,2,1,220,6,2,2,3
350727,1.0392044213,29,1,2,1,1,4,210,2,1,1,1
127405,2.491823793,34,1,2,1,1,4,220,3,1,1,1
110253,3.0103524804,31,1,1,1,1,4,210,2,2,2,2
134442,0.4836639471,12,2,1,5,2,1,230,2,1,1,2
245072,2.0854237269,58,1,4,1,1,5,10,1,1,1,1
328543,0.7780850856,83,1,2,4,1,6,210,2,1,1,1
333969,1.3520095119,19,2,1,1,2,3,220,4,2,2,4
424768,0.9742549082,24,2,1,1,1,4,220,3,3,3,3
113231,1.0253172205,59,2,4,1,1,5,10,1,1,1,1
149548,0.6000697738,67,1,2,1,1,6,210,2,1,1,1
437833,2.6276583187,37,1,2,1,1,4,220,5,1,1,2
339327,0.9018198016,17,2,1,3,2,2,220,4,3,3,4
432377,1.0053740068,32,1,1,1,1,4,220,4,1,1,2
311969,0.8669781517,70,1,2,4,1,6,210,2,1,1,1
288226,1.5048364032,73,2,2,4,1,6,210,2,2,2,2
339079,0.7189665757,17,1,1,1,2,2,230,3,1,1,2
348403,3.7485147684,29,2,2,1,2,4,220,3,0,0,1
349487,0.6419458473,65,2,2,4,1,6,210,2,1,1,2
240496,1.1013658521,48,1,2,1,1,5,220,3,2,2,1
258557,0.6740463407,73,2,3,4,1,6,10,1,1,1,1
137199,0.5440718617,58,2,1,1,1,5,210,2,2,2,2
